uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,field_eu_references,field_eq_references,status
ncas-dance-da-cr1.1.iii,DA:Cr1.1.III,basic_html,"<p>a. Respond in movement to a variety of sensory stimuli (for example, music/sound, visual, tactile).</p>",14786,50002,16469,Creating,Anchor Standard 1,HS Advanced,DA:Cr1.1.III,,,TRUE
ncas-dance-da-cr2.1.iii,DA:Cr2.1.III,basic_html,<p>a. Improvise dance that starts and stops on cue.</p>,14786,50004,16469,Creating,Anchor Standard 2,HS Advanced,DA:Cr2.1.III,EU_e1d42ba4,EQ_20f557ba,TRUE
ncas-dance-da-cr3.1.iii,DA:Cr3.1.III,basic_html,<p>a. Respond to suggestions for changing movement through guided improvisational experiences.</p>,14786,50006,16469,Creating,Anchor Standard 3,HS Advanced,DA:Cr3.1.III,EU_2646b8b6,EQ_8df6c8e1,TRUE
ncas-dance-da-pr4.1.iii,DA:Pr4.1.III,basic_html,"<p>a. Identify and demonstrate directions for moving the body in general space (for example, forward, backwards, sideways, up, down, and turning) and finding and returning to a place in space.</p>",14786,50009,16469,Performing/Presenting/Producing,Anchor Standard 4,HS Advanced,DA:Pr4.1.III,EU_a4ebc983,EQ_72eafd66,TRUE
ncas-dance-da-pr5.1.iii,DA:Pr5.1.III,basic_html,"<p>a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships.</p>",14786,50011,16469,Performing/Presenting/Producing,Anchor Standard 5,HS Advanced,DA:Pr5.1.III,EU_8fe05cc2,EQ_f2c96da2,TRUE
ncas-dance-da-pr6.1.iii,DA:Pr6.1.III,basic_html,<p>a. Dance for others in a designated area or space.</p>,14786,50013,16469,Performing/Presenting/Producing,Anchor Standard 6,HS Advanced,DA:Pr6.1.III,EU_16923821,EQ_c81db2f1,TRUE
ncas-dance-da-re8.1.iii,DA:Re8.1.III,basic_html,<p>Interpret a. Observe a movement and share impressions.</p>,14786,50016,16469,Responding,Anchor Standard 8,HS Advanced,DA:Re8.1.III,EU_c75697b6,EQ_b03ff933,TRUE
ncas-dance-da-re9.1.iii,DA:Re9.1.III,basic_html,<p>Critique a. Find a movement in a dance that was fun to watch.</p>,14786,50018,16469,Responding,Anchor Standard 9,HS Advanced,DA:Re9.1.III,EU_c75697b6,EQ_b03ff933,TRUE
ncas-dance-da-cn10.1.iii,DA:Cn10.1.III,basic_html,"<p>a. Recognize an emotion expressed in dance movement that is watched or performed a. Recognize and name an emotion that is experienced when watching, improvising, or performing dance and relate it to a personal experience.</p>",14786,50021,16469,Connecting,Anchor Standard 10,HS Advanced,DA:Cn10.1.III,EU_f4007ee0,EQ_737381c1,TRUE
ncas-dance-da-cn11.1.iii,DA:Cn11.1.III,basic_html,<p>Relate a. Show a dance movement experienced at home or elsewhere.</p>,14786,50023,16469,Connecting,Anchor Standard 11,HS Advanced,DA:Cn11.1.III,EU_5a889d2f,EQ_52fb3afd,TRUE
ncas-dance-da-cr1.1.pk,DA:Cr1.1.PK,basic_html,<p>DA:Cr1.1.K DA:Cr1.1.1 DA:Cr1.1.2 DA:Cr1.1.3 DA:Cr1.1.4 DA:Cr1.1.5 DA:Cr1.1.6 DA:Cr1.1.7 DA:Cr1.1.8 DA:Cr1.1.I DA:Cr1.1.II DA:Cr1.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50024,16469,Creating,Anchor Standard 1,Pre-K,DA:Cr1.1.PK,EU_e1d42ba4,EQ_d81c06a1,TRUE
ncas-dance-da-cr2.1.pk,DA:Cr2.1.PK,basic_html,<p>DA:Cr2.1.K DA:Cr2.1.1 DA:Cr2.1.2 DA:Cr2.1.3 DA:Cr2.1.4 DA:Cr2.1.5 DA:Cr2.1.6 DA:Cr2.1.7 DA:Cr2.1.8 DA:Cr2.1.I DA:Cr2.1.II DA:Cr2.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50025,16469,Creating,Anchor Standard 2,Pre-K,DA:Cr2.1.PK,EU_2646b8b6,EQ_d81c06a1,TRUE
ncas-dance-da-cr3.1.pk,DA:Cr3.1.PK,basic_html,<p>DA:Cr3.1.K DA:Cr3.1.1 DA:Cr3.1.2 DA:Cr3.1.3 DA:Cr3.1.4 DA:Cr3.1.5 DA:Cr3.1.6 DA:Cr3.1.7 DA:Cr3.1.8 DA:Cr3.1.I DA:Cr3.1.II DA:Cr3.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50026,16469,Creating,Anchor Standard 3,Pre-K,DA:Cr3.1.PK,EU_a4ebc983,EQ_d81c06a1,TRUE
ncas-dance-da-pr4.1.pk,DA:Pr4.1.PK,basic_html,<p>DA:Pr4.1.K DA:Pr4.1.1 DA:Pr4.1.2 DA:Pr4.1.3 DA:Pr4.1.4 DA:Pr4.1.5 DA:Pr4.1.6 DA:Pr4.1.7 DA:Pr4.1.8 DA:Pr4.1.I DA:Pr4.1.II DA:Pr4.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50027,16469,Performing/Presenting/Producing,Anchor Standard 4,Pre-K,DA:Pr4.1.PK,EU_8fe05cc2,EQ_c1cd84f2,TRUE
ncas-dance-da-pr5.1.pk,DA:Pr5.1.PK,basic_html,"<p>DA:Pr5.1.K DA:Pr5.1.1 DA:Pr5.1.2 DA:Pr5.1.3 DA:Pr5.1.4 DA:Pr5.1.5 DA:Pr5.1.6 DA:Pr5.1.7 DA:Pr5.1.8 DA:Pr5.1.I DA:Pr5.1.II DA:Pr5.1.III |  |  |  |  |  |  |  |  |  |  |  |  | | a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships. | a. Demonstrate same side and cross-body locomotor and non locomotor movements, body patterning movements, and body shapes. | a. Demonstrate a range of locomotor and non-locomotor movements, body patterning, body shapes, and directionality. | a. Demonstrate a range of locomotor and non-locomotor movements, body patterning, and dance sequences that require moving through space using a variety of pathways. | a. Replicate body shapes, movement characteristics, and movement patterns in a dance sequence with awareness of body alignment and core support. | a. Demonstrate fundamental dance skills (for example, alignment, coordination, balance, core support, kinesthetic awareness) and movement qualities when replicating and recalling patterns and sequences of locomotor and non locomotor movements. | a. Recall and execute a series of dance phrases using fundamental dance skills (for example, alignment, coordination, balance, core support, kinesthetic awareness, clarity of movement). | a. Embody technical dance skills (for example, alignment, coordination, balance, core support, kinesthetic awareness, clarity of movement) to accurately execute changes of direction, levels, facings, pathways, elevations and landings, extensions of limbs, and movement transitions. | a. Apply body-use strategies to accommodate physical maturational development to technical dance skills (for example, functional alignment, coordination, balance, core support, kinesthetic awareness, clarity of movement, weight shifts, flexibility/range of motion). | a. Embody technical dance skills (for example, functional alignment, coordination, balance, core support, clarity of movement, weight shifts, flexibility/range of motion) to replicate, recall, and execute spatial designs and musical or rhythmical dance phrases. | a. Embody technical dance skills (for example, functional alignment, coordination, balance, core support, clarity of movement, weight shifts, flexibility/range of motion) to retain and execute dance choreography. | a. Dance with sensibility toward other dancers while executing complex spatial, rhythmic and dynamic sequences to meet performance goals. | a. Apply body-mind principles to technical dance skills in complex choreography when performing solo, partnering, or dancing in ensemble works in a variety of dance genres and styles. Self-evaluate performances and discuss and analyze performance ability with others. |</p>",14786,50028,16469,Performing/Presenting/Producing,Anchor Standard 5,Pre-K,DA:Pr5.1.PK,EU_16923821,EQ_c1cd84f2,TRUE
ncas-dance-da-pr6.1.pk,DA:Pr6.1.PK,basic_html,<p>DA:Pr6.1.K DA:Pr6.1.1 DA:Pr6.1.2 DA:Pr6.1.3 DA:Pr6.1.4 DA:Pr6.1.5 DA:Pr6.1.6 DA:Pr6.1.7 DA:Pr6.1.8 DA:Pr6.1.I DA:Pr6.1.II DA:Pr6.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50029,16469,Performing/Presenting/Producing,Anchor Standard 6,Pre-K,DA:Pr6.1.PK,EU_3ef429f0,EQ_c1cd84f2,TRUE
ncas-dance-da-re8.1.pk,DA:Re8.1.PK,basic_html,<p>DA:Re8.1.K DA:Re8.1.1 DA:Re8.1.2 DA:Re8.1.3 DA:Re8.1.4 DA:Re8.1.5 DA:Re8.1.6 DA:Re8.1.7 DA:Re8.1.8 DA:Re8.1.I DA:Re8.1.II DA:Re8.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50030,16469,Responding,Anchor Standard 8,Pre-K,DA:Re8.1.PK,EU_2af01bcd,EQ_49c9d21e,TRUE
ncas-dance-da-re9.1.pk,DA:Re9.1.PK,basic_html,<p>DA:Re9.1.K DA:Re9.1.1 DA:Re9.1.2 DA:Re9.1.3 DA:Re9.1.4 DA:Re9.1.5 DA:Re9.1.6 DA:Re9.1.7 DA:Re9.1.8 DA:Re9.1.I DA:Re9.1.II DA:Re9.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50031,16469,Responding,Anchor Standard 9,Pre-K,DA:Re9.1.PK,EU_f4007ee0,EQ_49c9d21e,TRUE
ncas-dance-da-cn10.1.pk,DA:Cn10.1.PK,basic_html,<p>DA:Cn10.1.K DA:Cn10.1.1 DA:Cn10.1.2 DA:Cn10.1.3 DA:Cn10.1.4 DA:Cn10.1.5 DA:Cn10.1.6 DA:Cn10.1.7 DA:Cn10.1.8 DA:Cn10.1.I DA:Cn10.1.II DA:Cn10.1.III |  |  |  |  |  |  |  |  |  |  |  |  |</p>,14786,50032,16469,Connecting,Anchor Standard 10,Pre-K,DA:Cn10.1.PK,EU_5a889d2f,EQ_883660e4,TRUE
